workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
DS-CNN-KWS,1,kws_t1,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,51692.84375,827,0.08827085852478839,1092.1015719467957,1.0030433822958709,1753472.0
DS-CNN-KWS,1,kws_t1,WS,ROW_MAJOR,WS-RM,16,16384,16,4,51786.24,796,0.09170854271356783,1134.6331658291458,1.004855634895995,1756272.0
DS-CNN-KWS,1,kws_t1,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,51536.0,793,0.09205548549810845,1138.9255989911728,1.0,1748992.0
DS-CNN-KWS,1,kws_t1,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,51694.719999999994,795,0.09182389937106918,1136.0603773584905,1.0030797888854392,1753472.0
DS-CNN-KWS,2,kws_t2,OS,ROW_MAJOR,OS-RM,16,16384,16,4,159795.2,2726,0.8587674247982392,21204.237710931768,1.1645522388059701,127976688.0
DS-CNN-KWS,2,kws_t2,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,151265.28,2580,0.9073643410852713,22404.167441860463,1.1023880597014926,121916368.0
DS-CNN-KWS,2,kws_t2,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,137216.0,2341,1.0,24691.47885519009,1.0,111935488.0
DS-CNN-KWS,2,kws_t2,IS,ROW_MAJOR,IS-RM,16,16384,16,4,137216.0,3093,0.7568703524086647,18688.248302618817,1.0,111935488.0
DS-CNN-KWS,2,kws_t2,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,143349.76,3231,0.7245434849891674,17890.050139275765,1.0447014925373135,116292848.0
DS-CNN-KWS,2,kws_t2,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,147430.4,3323,0.7044839000902798,17394.749322900992,1.0744402985074626,119191968.0
DS-CNN-KWS,2,kws_t2,WS,ROW_MAJOR,WS-RM,16,16384,16,4,142909.44,52413,0.04466449163375499,1102.832350752676,1.041492537313433,115980368.0
DS-CNN-KWS,2,kws_t2,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,137216.0,50325,0.04651763537009439,1148.5892101341283,1.0,111935488.0
DS-CNN-KWS,2,kws_t2,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,140277.76,51447,0.04550313915291465,1123.5397982389643,1.022313432835821,114110528.0
DS-CNN-KWS,3,kws_ds1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,115660.8,641,0.9563182527301092,44167.78783151326,1.0458333333333334,107830848.0
DS-CNN-KWS,3,kws_ds1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,113479.67999999998,629,0.9745627980922098,45010.41653418124,1.026111111111111,105930768.0
DS-CNN-KWS,3,kws_ds1,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,110592.0,613,1.0,46185.239804241435,1.0,103415808.0
DS-CNN-KWS,3,kws_ds1,IS,ROW_MAJOR,IS-RM,16,16384,16,4,110592.0,4805,0.12757544224765868,5892.10239334027,1.0,103415808.0
