workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
RNN-T,2,rnnt_enc2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,131072.0,32901,0.0050150451354062184,509.9302756755114,1.0,77594624.0
RNN-T,2,rnnt_enc2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,135495.68,34011,0.004851371615065714,493.2879362559172,1.03375,80071504.0
RNN-T,3,rnnt_dec1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,84992.0,303,0.966996699669967,27685.17491749175,1.0375,78249872.0
RNN-T,3,rnnt_dec1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,83640.32,299,0.979933110367893,28055.54515050167,1.0210000000000001,77038592.0
RNN-T,3,rnnt_dec1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,81920.0,293,1.0,28630.0614334471,1.0,75497472.0
RNN-T,3,rnnt_dec1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,81920.0,2181,0.13434204493351673,3846.2209995414946,1.0,75497472.0
RNN-T,3,rnnt_dec1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,87654.4,2333,0.12558936990998715,3595.6313759108443,1.0699999999999998,80635472.0
RNN-T,3,rnnt_dec1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,91340.8,2431,0.12052653229123818,3450.6820238584946,1.115,83938352.0
RNN-T,3,rnnt_dec1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,87490.56,35138,0.00833855085662246,238.73322329102396,1.068,80488192.0
RNN-T,3,rnnt_dec1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,81920.0,32901,0.00890550439196377,254.9651378377557,1.0,75497472.0
RNN-T,3,rnnt_dec1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,84992.0,34134,0.008583816722329642,245.75520009374816,1.0375,78249872.0
RNN-T,4,rnnt_dec2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,34611.2,174,0.9482758620689655,12052.597701149425,1.05625,29597248.0
RNN-T,4,rnnt_dec2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,33832.96,170,0.9705882352941176,12336.188235294117,1.0325,28943728.0
RNN-T,4,rnnt_dec2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,32768.0,165,1.0,12710.012121212121,1.0,28049408.0
RNN-T,4,rnnt_dec2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,32768.0,645,0.2558139534883721,3251.398449612403,1.0,28049408.0
RNN-T,4,rnnt_dec2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,35184.64,692,0.2384393063583815,3030.566473988439,1.07375,30078848.0
RNN-T,4,rnnt_dec2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,36761.6,723,0.22821576763485477,2900.625172890733,1.121875,31403808.0
RNN-T,4,rnnt_dec2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,34160.64,17118,0.009638976515948125,122.51150835377965,1.0425,29218688.0
RNN-T,4,rnnt_dec2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,32768.0,16421,0.010048109128554899,127.71158881919493,1.0,28049408.0
RNN-T,4,rnnt_dec2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,33536.0,16805,0.009818506396905683,124.79333531686999,1.0234375,28694528.0
DLRM,1,dlrm_bot1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,182835.2,556,0.987410071942446,30174.84892086331,1.0144886363636365,190353424.0
DLRM,1,dlrm_bot1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,181637.12,553,0.9927667269439421,30338.54611211573,1.007840909090909,189133744.0
DLRM,1,dlrm_bot1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,180224.0,549,1.0,30559.59198542805,1.0,187695104.0
DLRM,1,dlrm_bot1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,180224.0,8261,0.06645684541823024,2030.8940806197797,1.0,187695104.0
DLRM,1,dlrm_bot1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,191365.12,8771,0.06259263481929085,1912.8053813704253,1.0618181818181818,199038464.0
DLRM,1,dlrm_bot1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,198246.39999999997,9087,0.060415978870914495,1846.287663695389,1.0999999999999999,206044624.0
DLRM,1,dlrm_bot1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,202506.24,37400,0.014679144385026738,448.58866310160425,1.1236363636363635,210382384.0
DLRM,1,dlrm_bot1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,180224.0,33285,0.016493916178458766,504.04734865555054,1.0,187695104.0
DLRM,1,dlrm_bot1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,192512.0,35554,0.015441300556899365,471.8798447432075,1.0681818181818181,200206064.0
DLRM,2,dlrm_bot2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,58726.4,300,0.9766666666666667,13981.013333333334,1.0241071428571429,57425456.0
DLRM,2,dlrm_bot2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,58101.76000000001,296,0.9898648648648649,14169.945945945947,1.0132142857142858,56826256.0
DLRM,2,dlrm_bot2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,57344.0,293,1.0,14315.03071672355,1.0,56098816.0
DLRM,2,dlrm_bot2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,57344.0,2117,0.13840340103920643,1981.248937175248,1.0,56098816.0
DLRM,2,dlrm_bot2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,61112.31999999999,2256,0.12987588652482268,1859.177304964539,1.0657142857142856,59715856.0
DLRM,2,dlrm_bot2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,63488.0,2343,0.1250533504054631,1790.1425522833974,1.1071428571428572,61996736.0
